;Unnamed: 0;tconst;primaryTitle;originalTitle;startYear;endYear;runtimeMinutes;numVotes;label;genre
286;3089;tt0114781;Under Siege 2: Dark Territory;Under Siege 2: Dark Territory;1995;0;100;;FALSE;
287;3095;tt0114996;A Chinese Odyssey: Part 2 - Cinderella;;1995;0;98;6989.0;TRUE;
288;3117;tt0115742;Boys;Boys;1996;0;86;3644.0;FALSE;
289;3121;tt0115794;Bámbola;;1996;0;92;;FALSE;
290;3123;tt0115836;Carpool;;1996;0;89;4803.0;FALSE;
291;3129;tt0116116;Dévil's Islánd;;1996;0;99;;TRUE;
292;3132;tt0116225;Escape from L.A.;;1996;0;101;73011.0;FALSE;
293;3141;tt0116308;Fire;Fire;1996;0;108;5941.0;TRUE;
294;3142;tt0116311;First Kid;;1996;0;101;10750.0;FALSE;
295;3148;tt0116506;Hearts & Minds;;1995;0;100;3321.0;FALSE;
296;3180;tt0117128;Mystery Science Theater 3000: The Movie;Mystery Science Theater 3000: The Movie;1996;0;73;;TRUE;
297;3184;tt0117238;Ớmégá Dớớm;;1996;0;84;3087.0;FALSE;
298;3194;tt0117477;Ridicule;;1996;0;102;7489.0;TRUE;
299;3221;tt0118011;Premeditated Murder;Ubistvo s predumisljajem;1995;0;94;1865.0;TRUE;
300;3226;tt0118521;U2: Zoo TV Live from Sydney;U2: Zoo TV Live from Sydney;1994;0;118;1068.0;TRUE;
301;3228;tt0118541;8 Héáds in á Dúffél Bág;8 Heads in a Duffel Bag;1997;0;95;10279.0;FALSE;
302;3230;tt0118589;Glittér;Glitter;2001;0;104;;FALSE;
303;3231;tt0118660;Auzaar;;1997;0;127;1039.0;FALSE;
304;3256;tt0119086;Excess Baggage;;1997;0;101;;FALSE;
305;3264;tt0119177;Gattaca;Gattaca;1997;0;106;292512.0;TRUE;
306;3270;tt0119247;Half a Chance;1 chance sur 2;1998;0;104;2598.0;FALSE;
307;3292;tt0119626;Martín (Hache);Martín (Hache);1997;0;123;4178.0;TRUE;
308;3293;tt0119640;McHale's Navy;McHale's Navy;1997;0;108;;FALSE;
309;3299;tt0119815;Four Days in September;;1997;0;110;4854.0;TRUE;
310;3300;tt0119820;Ogifta par ...en film som skiljer sig;Ogifta par ...en film som skiljer sig;1997;0;90;1277.0;FALSE;
311;3310;tt0120036;Rosewood;Rosewood;1997;0;140;;TRUE;
312;3325;tt0120255;Thé Swéét Héréáftér;;1997;0;112;34541.0;TRUE;
313;3332;tt0120472;Waco: The Rules of Engagement;;1997;0;136;3509.0;TRUE;
314;3335;tt0120576;Dance with Me;Dance with Me;1998;0;126;6324.0;FALSE;
315;3336;tt0120577;54;54;1998;0;93;32722.0;FALSE;
316;3370;tt0122037;The Dead Pit;;1989;0;95;;FALSE;
317;3388;tt0124770;Patlabor 2: The Movie;Kidô keisatsu patorebâ: The Movie 2;1993;0;113;4011.0;TRUE;
318;3399;tt0126886;Election;;1999;0;103;;TRUE;
319;3407;tt0128232;Ghost Keeper;Ghostkeeper;1981;0;89;1044.0;FALSE;
320;3409;tt0128442;Rớúndérs;;1998;0;121;147567.0;TRUE;
321;3411;tt0128985;Chálti Ká Náám Gáádi;;1958;0;173;1589.0;TRUE;
322;3438;tt0134614;The Girls;;1962;0;98;3671.0;TRUE;
323;3460;tt0139239;Go;;1999;0;102;70324.0;TRUE;
324;3469;tt0140448;Páthinárú Váyáthinilé;;1977;0;139;1083.0;TRUE;
325;3475;tt0141824;The Inheritors;Die Siebtelbauern;1998;0;95;1155.0;TRUE;
326;3498;tt0145503;Sunshine;;1999;0;181;14812.0;TRUE;
327;3500;tt0145547;Two Hands;Two Hands;1999;0;103;12330.0;TRUE;
328;3509;tt0149568;Áá Áb Láút Chálén;;1999;0;177;1721.0;FALSE;
329;3517;tt0151691;My Námé Is Jớé;My Name Is Joe;1998;0;105;8228.0;TRUE;
330;3533;tt0156901;The Apple;;1998;0;86;2339.0;TRUE;
331;3545;tt0160127;Chárlié's Ángéls;Charlie's Angels;2000;0;98;183257.0;FALSE;
332;3547;tt0160298;Trippin';Trippin';1999;0;94;1315.0;FALSE;
333;3550;tt0162211;Deadly Instincts;;1997;0;90;1173.0;FALSE;
334;3553;tt0162866;The Emperor and the Assassin;Jing Ke ci Qin Wang;1998;0;162;6144.0;TRUE;
335;3564;tt0164114;Drive Me Crazy;Drive Me Crazy;1999;0;91;19166.0;FALSE;
336;3607;tt0169828;Fáthér ớf á Sớldiér;Jariskatsis mama;1964;0;87;4133.0;TRUE;
337;3609;tt0171227;Diplomatic Siege;;1999;0;90;1470.0;FALSE;
338;3615;tt0172519;Guddu;;1995;0;160;2328.0;FALSE;
339;3617;tt0172627;Body Shots;;1999;0;106;5424.0;FALSE;
340;3635;tt0177226;Sisters of Death;;1976;0;87;;FALSE;
341;3638;tt0177698;Miss Director;Dis diefthyntis;1964;0;96;1408.0;TRUE;
342;3640;tt0177789;Galaxy Quest;Galaxy Quest;\N;1999;102;;TRUE;
343;3643;tt0179182;Forever Mine;;1999;0;115;2475.0;FALSE;
344;3663;tt0182000;The Caveman's Valentine;The Caveman's Valentine;2001;0;105;7842.0;FALSE;
345;3666;tt0183306;Jinnáh;;1998;0;110;2866.0;TRUE;
346;3669;tt0184756;Mr. Múhsin;Muhsin Bey;1987;0;119;10620.0;TRUE;
347;3680;tt0186895;Les Boys III;;2001;0;124;1118.0;FALSE;
348;3682;tt0187231;Barking at the Stars;Lajanje na zvezde;1998;0;95;7218.0;TRUE;
349;3687;tt0188055;Mercy;Mercy;2000;0;117;2237.0;FALSE;
350;3707;tt0192731;Urban Legends: Final Cut;;\N;2000;97;17138.0;FALSE;
351;3713;tt0195909;Meeting People Is Easy;Meeting People Is Easy;1998;0;99;3146.0;TRUE;
352;3720;tt0197384;Crime + Punishment in Suburbia;;2000;0;100;3342.0;FALSE;
353;3725;tt0199481;Druids;Vercingétorix;2001;0;120;5268.0;FALSE;
354;3760;tt0209189;Not One Less;Yi ge dou bu neng shao;1999;0;106;8650.0;TRUE;
355;3765;tt0210701;German Fried Movie;German Fried Movie;1992;0;88;1309.0;FALSE;
356;3772;tt0211915;Amélie;;2001;0;122;730484.0;TRUE;
357;3777;tt0212712;2046;;2004;0;129;55758.0;TRUE;
358;3778;tt0212720;A.I. Artificial Intelligence;A.I. Artificial Intelligence;2001;0;146;;TRUE;
359;3785;tt0214915;Mánichithrátházhú;;1993;0;169;10013.0;TRUE;
360;3816;tt0227194;One 2 Ka 4;One 2 Ka 4;2001;0;169;5013.0;FALSE;
361;3821;tt0229371;An Evening of Edgar Allan Poe;An Evening of Edgar Allan Poe;1970;0;53;1008.0;TRUE;
362;3829;tt0233600;Tokyo Raiders;Dong jing gong lüe;\N;2000;118;2499.0;FALSE;
363;3837;tt0234837;Suzhou River;;2000;0;83;4673.0;TRUE;
364;3926;tt0252277;Bichhoo;Bichhoo;2000;0;160;;FALSE;
365;3928;tt0252405;Düttürü Dünya;;1988;0;91;2603.0;TRUE;
366;3930;tt0252468;Gerzek Saban;Gerzek Saban;1980;0;76;2872.0;TRUE;
367;3944;tt0253623;Sálákớ;;1974;0;87;6022.0;TRUE;
368;3946;tt0253840;The Triumph of Love;;2001;0;112;1552.0;FALSE;
369;3950;tt0253997;Çöpçüler Krali;;1977;0;80;;TRUE;
370;3958;tt0255477;Pinớcchiớ;Pinocchio;2002;0;108;;FALSE;
371;3962;tt0256692;Chori Chori Chupke Chupke;;2001;0;165;;FALSE;
372;3978;tt0260414;Taking Sides;Taking Sides;2001;0;108;;TRUE;
373;3995;tt0263534;Kara gözlüm;;1970;0;95;1049.0;TRUE;
374;4004;tt0265087;Black Knight;;2001;0;95;39788.0;FALSE;
375;4005;tt0265116;Chaos;Chaos;2001;0;109;;TRUE;
376;4006;tt0265144;Ớffsidé;Dar Alanda Kisa Paslasmalar;2000;0;120;3057.0;TRUE;
377;4007;tt0265232;Once in a Lifetime;;2000;0;108;2146.0;FALSE;
378;4021;tt0267363;Chándni Bár;Chandni Bar;2001;0;150;2567.0;TRUE;
379;4024;tt0267913;Scooby-Doo;;2002;0;89;;FALSE;
380;4025;tt0268126;Adaptation.;Adaptation.;2002;0;115;187322.0;TRUE;
381;4044;tt0271210;R.S.V.P.;R.S.V.P.;2002;0;100;1126.0;FALSE;
382;4049;tt0272338;Punch-Drunk Love;;2002;0;95;156992.0;TRUE;
383;4067;tt0277027;I Am Sam;;2001;0;132;147514.0;TRUE;
384;4093;tt0281718;Friend;Chingoo;2001;0;113;4932.0;TRUE;
385;4104;tt0283054;Thunderpants;;2002;0;87;5692.0;FALSE;
386;4111;tt0284494;Skins;;2002;0;84;1444.0;TRUE;
387;4113;tt0284929;Ted Bundy;;2002;0;99;7571.0;FALSE;
388;4115;tt0285487;Crazy as Hell;;\N;2002;113;1069.0;FALSE;
389;4121;tt0286244;The Triplets of Belleville;;2003;0;80;53490.0;TRUE;
390;4158;tt0293832;Hánsél & Grétél;Hansel & Gretel;2002;0;89;1371.0;FALSE;
391;4168;tt0297741;Argo;Argo;2004;0;106;3764.0;TRUE;
392;4174;tt0298954;Crying... Silicon Tears;;2001;0;110;2765.0;TRUE;
393;4176;tt0299213;Waterboys;;2001;0;91;2811.0;TRUE;
394;4180;tt0300902;Ábsớlớn;;2003;0;96;3138.0;FALSE;
395;4182;tt0301082;Cardcaptor Sakura: The Movie;Gekijô-ban Kâdokaputâ Sakura;1999;0;80;1595.0;TRUE;
396;4200;tt0304120;H;H;2002;0;106;1835.0;FALSE;
397;4206;tt0305396;Thé Crớcớdilé Húntér: Cớllisiớn Cớúrsé;The Crocodile Hunter: Collision Course;2002;0;90;7908.0;FALSE;
398;4209;tt0305973;Sonny;;2002;0;110;4218.0;FALSE;
399;4210;tt0306047;Scary Movie 3;;2003;0;84;143408.0;FALSE;
400;4217;tt0307197;Murder on a Sunday Morning;;2001;0;111;4229.0;TRUE;
401;4221;tt0307553;Tempo;Tempo;2003;0;83;1003.0;FALSE;
402;4222;tt0307681;I Not Stupid;;2002;0;105;1137.0;TRUE;
403;4223;tt0307692;Zapata - El sueño del héroe;Zapata - El sueño del héroe;2004;0;\N;1050.0;FALSE;
404;4229;tt0308644;Finding Neverland;;2004;0;106;203152.0;TRUE;
405;4231;tt0309291;Blue Spring;;2001;0;83;3551.0;TRUE;
406;4241;tt0311519;The Man Without a Past;;2002;0;97;23060.0;TRUE;
407;4257;tt0314786;Thé In-Láws;The In-Laws;2003;0;98;16873.0;FALSE;
408;4263;tt0315733;21 Grams;21 Grams;\N;2003;124;231953.0;TRUE;
409;4278;tt0319061;Big Fish;Big Fish;2003;0;125;429870.0;TRUE;
410;4286;tt0322259;2 Fast 2 Furious;2 Fast 2 Furious;2003;0;107;264980.0;FALSE;
411;4288;tt0323013;Lakshya;;2004;0;186;22557.0;TRUE;
412;4306;tt0327409;Alien Hunter;;2003;0;92;4434.0;FALSE;
413;4317;tt0329042;Él Áláméin - Thé Liné ớf Firé;;2002;0;117;1860.0;TRUE;
414;4319;tt0329216;I Witness;;2003;0;95;1502.0;FALSE;
415;4322;tt0329485;The Butterfly;;2002;0;85;;TRUE;
416;4346;tt0337578;Bághbán;Baghban;2003;0;181;;TRUE;
417;4362;tt0339147;Highwaymen;;2004;0;80;8788.0;FALSE;
418;4373;tt0340855;Monster;;2003;0;109;145226.0;TRUE;
419;4378;tt0343168;Thé Wéáthér Úndérgrớúnd;The Weather Underground;2002;0;92;3591.0;TRUE;
420;4392;tt0347304;Kal Ho Naa Ho;;2003;0;186;;TRUE;
421;4399;tt0349205;Cheaper by the Dozen;Cheaper by the Dozen;2003;0;98;98941.0;FALSE;
422;4421;tt0356154;Wolf Summer;;\N;2003;87;1105.0;FALSE;
423;4424;tt0356764;Thé Jớb;The Job;2003;0;86;1023.0;FALSE;
424;4426;tt0357277;Elektra;Elektra;2005;0;97;90548.0;FALSE;
425;4430;tt0357829;Kalyanaraman;Kalyanaraman;2002;0;126;1309.0;TRUE;
426;4456;tt0362511;Dorm Daze;Dorm Daze;2003;0;96;7820.0;FALSE;
427;4457;tt0362942;Post Impact;Post Impact;\N;2004;90;2198.0;FALSE;
428;4458;tt0363143;Trauma;Trauma;2004;0;94;3365.0;FALSE;
429;4461;tt0363409;Aan: Men at Work;;2004;0;149;3019.0;FALSE;
430;4463;tt0363852;O Simdi Asker;;2003;0;125;2650.0;FALSE;
431;4464;tt0364616;The Unknown;;2005;0;85;1149.0;FALSE;
432;4474;tt0366621;InuYasha the Movie 2: The Castle Beyond the Looking Glass;;\N;2002;99;2071.0;TRUE;
433;4476;tt0366721;Trilogy: The Weeping Meadow;;2004;0;170;4670.0;TRUE;
434;4504;tt0369702;The Sea Inside;;2004;0;126;80209.0;TRUE;
435;4512;tt0372303;Thé Cớnféssớr;;2004;0;91;1443.0;FALSE;
436;4516;tt0373051;Journey to the Center of the Earth;;2008;0;93;;FALSE;
437;4532;tt0375093;Srabon Megher Din;;2000;0;150;2409.0;TRUE;
438;4534;tt0375611;Black;;2005;0;122;34370.0;TRUE;
439;4537;tt0375878;Kaakha..Kaakha: The Police;;2003;0;153;6015.0;TRUE;
440;4544;tt0376650;Hipnos;Hipnos;2004;0;93;1441.0;FALSE;
441;4578;tt0381601;Slipstream;Slipstream;2005;0;89;3348.0;FALSE;
442;4589;tt0382330;Ás It Is in Héávén;Så som i himmelen;2004;0;133;17026.0;TRUE;
443;4595;tt0383010;The Three Stooges;The Three Stooges;2012;0;92;31097.0;FALSE;
444;4597;tt0383060;Zoom;;2006;0;93;20581.0;FALSE;
445;4623;tt0387357;The Locals;;2003;0;88;2062.0;FALSE;
446;4628;tt0388130;Initial D: Third Stage;Initial D: Third Stage;2001;0;100;1299.0;TRUE;
447;4651;tt0391728;Adam and Eve;;2005;0;91;2797.0;FALSE;
448;4657;tt0393775;Simon;;\N;2004;102;8064.0;TRUE;
449;4678;tt0398842;The Celestine Prophecy;The Celestine Prophecy;2006;0;99;;FALSE;
450;4687;tt0401711;Paris, je t'aime;;2006;0;120;71851.0;TRUE;
451;4689;tt0401815;Tamara;;2005;0;98;10136.0;FALSE;
452;4693;tt0402158;Empire of the Wolves;;2005;0;128;;FALSE;
453;4725;tt0408345;Firewall;Firewall;2006;0;105;57377.0;FALSE;
454;4731;tt0409182;Poseidon;;\N;2006;98;;FALSE;
455;4745;tt0412019;Broken Flowers;;2005;0;106;101239.0;TRUE;
456;4772;tt0417686;Forest of the Damned;;2005;0;95;1168.0;FALSE;
457;4773;tt0417751;Her Minor Thing;;2005;0;91;1704.0;FALSE;
458;4785;tt0420260;Tony Takitani;Tonî Takitani;2004;0;105;4481.0;TRUE;
459;4787;tt0420555;How Much Do You Love Me?;;2005;0;95;6863.0;FALSE;
460;4797;tt0421729;Big Momma's House 2;;2006;0;99;;FALSE;
461;4808;tt0423166;White Nights;;2003;0;103;1125.0;TRUE;
462;4820;tt0424863;Thé Bớớk ớf Révélátiớn;The Book of Revelation;2006;0;118;1523.0;FALSE;
463;4825;tt0425210;Lucky Number Slevin;;2006;0;110;307322.0;TRUE;
464;4827;tt0425321;The Yacoubian Building;;2006;0;165;6312.0;TRUE;
465;4845;tt0427323;Thé Cháớs Cláss in thé Militáry;;2005;0;112;7108.0;FALSE;
466;4847;tt0427582;The Method;;2005;0;115;10936.0;TRUE;
467;4852;tt0428646;Hui Buh: Das Schlossgespenst;;2006;0;103;2842.0;FALSE;
468;4859;tt0430239;It Waits;It Waits;2005;0;88;;FALSE;
469;4862;tt0430576;The Secret Life of Words;;2005;0;115;12408.0;TRUE;
470;4900;tt0439714;Múmbái Éxpréss;;\N;2005;152;1116.0;FALSE;
471;4901;tt0439817;The Sun;;2005;0;110;2792.0;TRUE;
472;4916;tt0443584;Mélissá P.;Melissa P.;\N;2005;100;6463.0;FALSE;
473;4928;tt0445990;Invincible;Invincible;2006;0;105;68930.0;TRUE;
474;4936;tt0449159;15 Park Avenue;;2005;0;116;;TRUE;
475;4939;tt0449487;Passengers;Passengers;2008;0;93;36161.0;FALSE;
476;4949;tt0450426;Gallipoli;;2005;0;114;1930.0;TRUE;
477;4975;tt0455116;Seoul Raiders;;2005;0;95;1065.0;FALSE;
478;4985;tt0456047;Bizim Áilé;;1975;0;88;6463.0;TRUE;
479;4987;tt0457319;Dead Heist;Dead Heist;2007;0;80;1015.0;FALSE;
480;4989;tt0457430;Pan's Labyrinth;;2006;0;118;;TRUE;
481;4992;tt0458050;Paruthiveeran;;\N;2007;162;3491.0;TRUE;
482;5001;tt0460766;Deep Water;Deep Water;2006;0;93;3104.0;TRUE;
483;5006;tt0462160;Déád Tớné;;\N;2007;100;2940.0;FALSE;
484;5030;tt0466669;Almost Normal;;2005;0;90;1166.0;FALSE;
485;5039;tt0468569;The Dark Knight;The Dark Knight;\N;2008;152;2453191.0;TRUE;
486;5048;tt0469785;A Limousine the Colour of Midsummer's Eve;;1981;0;84;1200.0;TRUE;
487;5105;tt0479500;Nancy Drew;Nancy Drew;2007;0;99;;FALSE;
488;5123;tt0483703;So Close, So Far;;2005;0;121;2560.0;TRUE;
489;5124;tt0483719;The Living and the Dead;The Living and the Dead;2006;0;83;2355.0;FALSE;
490;5128;tt0485241;Don't Worry, I'm Fine;;2006;0;92;10531.0;TRUE;
491;5135;tt0486544;Albert Fish: In Sin He Found Salvation;;2007;0;86;1103.0;FALSE;
492;5162;tt0490196;Phat Girlz;Phat Girlz;2006;0;99;9005.0;FALSE;
493;5163;tt0490377;De brief voor de koning;De brief voor de koning;2008;0;110;1396.0;FALSE;
494;5174;tt0493171;I Love You in Every Language in the World;Ti amo in tutte le lingue del mondo;2005;0;99;1826.0;FALSE;
495;5208;tt0499291;Ah Nerede;Ah Nerede;1975;0;90;4300.0;TRUE;
496;5210;tt0499456;Dáys ớf Dárknéss;;2007;0;89;1482.0;FALSE;
497;5211;tt0499549;Avatar;;2009;0;162;1167269.0;TRUE;
498;5239;tt0768218;The Mysteries of Pittsburgh;;2008;0;95;3246.0;FALSE;
499;5250;tt0776804;Triple Dare;;\N;2006;92;1006.0;FALSE;
500;5284;tt0795463;Sénséléss;;2008;0;87;1069.0;FALSE;
501;5291;tt0800320;Clash of the Titans;Clash of the Titans;2010;0;106;277337.0;FALSE;
502;5309;tt0808331;Joshua;;\N;2007;106;12553.0;FALSE;
503;5362;tt0831887;The Spirit;The Spirit;2008;0;103;60696.0;FALSE;
504;5364;tt0833444;Dombivli Fast;;2005;0;108;1011.0;TRUE;
505;5365;tt0833476;Jhớớm Bárábár Jhớớm;;2007;0;138;3129.0;FALSE;
506;5378;tt0840361;The Town;;2010;0;125;371930.0;TRUE;
507;5401;tt0855822;Huddersfield;Hadersfild;\N;2007;95;2847.0;TRUE;
508;5402;tt0857191;The Visitor;The Visitor;2007;0;104;42648.0;TRUE;
509;5409;tt0862748;Rupan sansei;Rupan sansei;2014;0;133;1651.0;FALSE;
510;5422;tt0872224;Street Thief;;2006;0;84;2040.0;TRUE;
511;5430;tt0881891;Áll Ábớút Stévé;All About Steve;2009;0;99;41261.0;FALSE;
512;5432;tt0884214;Wreckage;Wreckage;\N;2010;87;;FALSE;
513;5435;tt0887719;Blonde Ambition;Blonde Ambition;2007;0;93;5879.0;FALSE;
514;5453;tt0897361;I Knớw Whớ Killéd Mé;;2007;0;106;29229.0;FALSE;
515;5456;tt0901476;Bride Wars;;2009;0;89;;FALSE;
516;5481;tt0920462;Lost Girls and Love Hotels;;2020;0;97;;FALSE;
517;5491;tt0929809;The Class;;2007;0;100;3728.0;FALSE;
518;5495;tt0933342;Polycarp;Polycarp;2007;0;85;1049.0;FALSE;
519;5503;tt0940651;Americans at the Black Sea;;2007;0;100;1379.0;FALSE;
520;5518;tt0960066;The Black Waters of Echo's Pond;;2009;0;89;1211.0;FALSE;
521;5520;tt0961066;Everlasting Moments;Maria Larssons eviga ögonblick;2008;0;131;5582.0;TRUE;
522;5530;tt0973783;Big B;Big B;2007;0;130;3101.0;TRUE;
523;5540;tt0978670;The Neighbor;The Neighbor;\N;2007;98;1170.0;FALSE;
524;5560;tt0989000;In Search of a Midnight Kiss;In Search of a Midnight Kiss;2007;0;90;8132.0;TRUE;
525;5561;tt0989760;Suspension;;2008;0;95;1327.0;FALSE;
526;5562;tt0990372;Detective Conan: The Phantom of Baker Street;Meitantei Conan: Bekâ Sutorîto no bôrei;2002;0;98;2876.0;TRUE;
527;5564;tt0990407;The Green Hornet;;2011;0;119;;FALSE;
528;5572;tt0995829;XXY;;\N;2007;86;14002.0;TRUE;
529;5574;tt0996605;Love Songs;Les chansons d'amour;2007;0;91;9485.0;TRUE;
530;5581;tt1001548;Cớntráct Killérs;;2008;0;86;1259.0;FALSE;
531;5591;tt10096842;False Positive;False Positive;2021;0;92;4308.0;FALSE;
532;5600;tt1014775;Beverly Hills Chihuahua;Beverly Hills Chihuahua;2008;0;91;23840.0;FALSE;
533;5604;tt1016164;Cớnféssiớns ớf á Súpérhérớ;Confessions of a Superhero;2007;0;92;2204.0;TRUE;
534;5626;tt10235600;Kaali Khuhi;Kaali Khuhi;2020;0;90;1164.0;FALSE;
535;5630;tt1025100;Gemini Man;Gemini Man;2019;0;117;;FALSE;
536;5631;tt10253466;Badland;Badland;2019;0;117;2566.0;FALSE;
537;5649;tt10319486;Budapest Heist;Pesti balhé;2020;0;104;4938.0;FALSE;
538;5650;tt10322274;Schumacher;Schumacher;2021;0;112;18512.0;TRUE;
539;5651;tt10327252;Thé Fớrévér Púrgé;;2021;0;103;24102.0;FALSE;
540;5652;tt1032755;RocknRolla;RocknRolla;2008;0;114;244977.0;TRUE;
541;5657;tt10333426;Bliss;;\N;2021;103;;FALSE;
542;5669;tt1035498;Tán Linés;;2005;0;96;1101.0;FALSE;
543;5694;tt1049400;Outrage;;2009;0;90;;TRUE;
544;5726;tt10627352;Delete History;Effacer l'historique;2020;0;110;1563.0;FALSE;
545;5728;tt10635042;Sailor Moon Eternal;;2021;0;160;1088.0;TRUE;
546;5731;tt1064932;Welcome to the Sticks;;2008;0;106;40985.0;TRUE;
547;5733;tt1065329;Natale in crociera;;2007;0;105;1086.0;FALSE;
548;5754;tt1075113;Don't Look Back;Ne te retourne pas;2009;0;111;6724.0;FALSE;
549;5756;tt10756134;The Ghost in the Darkness;;2019;0;65;2250.0;FALSE;
550;5769;tt1082599;Stag Night;Stag Night;2008;0;84;3294.0;FALSE;
551;5774;tt10845262;Miracle in Cell No. 7;Miracle in Cell No. 7;2019;0;120;;TRUE;
552;5781;tt1087832;Kod apokalipsisa;;2007;0;106;1309.0;FALSE;
553;5804;tt1094275;Under the Bombs;;2007;0;98;1609.0;TRUE;
554;5810;tt10954652;Old;Old;2021;0;108;;FALSE;
555;5822;tt11012066;Home Sweet Home Alone;;2021;0;93;11308.0;FALSE;
556;5832;tt1105709;8 x 10 Tasveer;8 x 10 Tasveer;2009;0;122;5668.0;FALSE;
557;5834;tt1105747;Yuvvraaj;;2008;0;151;4291.0;FALSE;
558;5849;tt1114677;Hánnáh Mớntáná: Thé Mớvié;Hannah Montana: The Movie;2009;0;102;41485.0;FALSE;
559;5863;tt11213600;Sardar Ka Grandson;;2021;0;139;4364.0;FALSE;
560;5882;tt11290556;The Way I See It;;2020;0;100;1663.0;TRUE;
561;5883;tt1129381;Lớwér Léárning;Lower Learning;2008;0;97;2688.0;FALSE;
562;5885;tt1129435;The Beaches of Agnès;;2008;0;112;3918.0;TRUE;
563;5888;tt11307724;John and the Hole;John and the Hole;2021;0;103;;FALSE;
564;5893;tt1130988;JCVD;JCVD;2008;0;97;38528.0;TRUE;
565;5935;tt11402172;Kirk Yalan;;2019;0;97;1383.0;FALSE;
566;5947;tt1148261;Bleach the Movie 2: The Diamond Dust Rebellion;Gekijô ban Bleach: The DiamondDust Rebellion - Mô hitotsu no hyôrinmaru;2007;0;92;2907.0;TRUE;
567;5949;tt1149361;Micmacs;Micmacs à tire-larigot;2009;0;105;29834.0;TRUE;
568;5953;tt1150946;Krishnarjuna;;2008;0;134;1594.0;FALSE;
569;5962;tt11527964;Bayi Toplantisi;Bayi Toplantisi;2020;0;114;3526.0;FALSE;
570;5976;tt11580854;Sárpáttá Párámbárái;Sarpatta Parambarai;2021;0;173;18840.0;TRUE;
571;5991;tt11618350;Nemesis;;2021;0;88;1049.0;FALSE;
572;6004;tt1170358;Thé Hớbbit: Thé Désớlátiớn ớf Smáúg;;2013;0;161;627985.0;TRUE;
573;6016;tt11742798;Afterlife of the Party;Afterlife of the Party;2021;0;109;;FALSE;
574;6020;tt1176252;Hunger;Hunger;2009;0;101;5101.0;FALSE;
575;6028;tt11790780;The Alpinist;The Alpinist;2021;0;92;1777.0;TRUE;
576;6033;tt1179947;American: The Bill Hicks Story;;2009;0;102;4873.0;TRUE;
577;6039;tt1185264;Freakdog;;2008;0;82;2837.0;FALSE;
578;6063;tt1194236;Paathshaala;Get Educated: Paathshaala;2010;0;122;1734.0;FALSE;
579;6072;tt1196334;After Last Season;;2009;0;93;8141.0;FALSE;
580;6074;tt1198075;Cớúgárs Inc.;;2011;0;79;4061.0;FALSE;
581;6089;tt1206881;The Bleeding;The Bleeding;2009;0;80;1065.0;FALSE;
582;6090;tt12091980;Thinkalazhcha Nishchayam;Thinkalazhcha Nishchayam;2021;0;109;1202.0;TRUE;
583;6105;tt1220213;Grace;Grace;2009;0;85;7937.0;FALSE;
584;6128;tt1232831;Crows Zero II;;\N;2009;133;4827.0;TRUE;
585;6143;tt1238304;Táblé fớr Thréé;;2009;0;93;3097.0;FALSE;
586;6148;tt12408808;Clairevoyant;Clairevoyant;2021;0;90;;TRUE;
587;6150;tt1241195;Aamir;Aamir;2008;0;99;;TRUE;
588;6156;tt1242522;Oscar and the Lady in Pink;Oscar et la dame rose;\N;2009;105;1512.0;TRUE;
589;6161;tt1244754;Conviction;;2010;0;107;43757.0;TRUE;
590;6172;tt12546872;This Little Love of Mine;This Little Love of Mine;2021;0;91;2069.0;FALSE;
591;6173;tt1254696;Splinterheads;Splinterheads;2009;0;94;1495.0;FALSE;
592;6178;tt1259570;Neon Flesh Extra;Carne de neón;2010;0;98;1718.0;FALSE;
593;6187;tt1263679;Firaaq;Firaaq;2008;0;101;2221.0;TRUE;
594;6194;tt1266036;Válléy Girl;;\N;2020;102;3361.0;FALSE;
595;6209;tt1275590;Dé l'áútré côté dú lit;;2008;0;93;2604.0;FALSE;
596;6223;tt1281374;Don McKay;;\N;2009;87;2388.0;FALSE;
597;6230;tt1285130;Pandora's Box;Pandora'nin kutusu;2008;0;112;2423.0;TRUE;
598;6232;tt1285241;Don 2;Don 2;2011;0;148;51602.0;TRUE;
599;6247;tt1289437;The Steam Experiment;;2009;0;90;2713.0;FALSE;
600;6264;tt12969078;Atkan Chatkan;Atkan Chatkan;2020;0;126;4068.0;TRUE;
601;6266;tt1301990;Every Day;;2010;0;93;3459.0;FALSE;
602;6280;tt1307989;Never Surrender;Never Surrender;2009;0;87;1877.0;FALSE;
603;6284;tt13102440;Play Back;Play Back;2021;0;138;1272.0;TRUE;
604;6288;tt13131186;Enemy;Enemy;2021;0;159;3194.0;TRUE;
605;6297;tt1318514;Rise of the Planet of the Apes;;\N;2011;105;511818.0;TRUE;
606;6300;tt1320254;Presumed Guilty;;2008;0;87;1365.0;TRUE;
607;6313;tt1326972;Réd Cliff II;Chi bi: Jue zhan tian xia;2009;0;142;23821.0;TRUE;
608;6321;tt13310936;Thimmarusu: Assignment Vali;;2021;0;127;1315.0;TRUE;
609;6347;tt1343092;The Great Gatsby;The Great Gatsby;2013;0;143;510542.0;TRUE;
610;6348;tt1343703;Fortress of War;Brestskaya krepost;\N;2010;138;9596.0;TRUE;
611;6351;tt13446424;Christmas Crossfire;;2020;0;105;1237.0;FALSE;
612;6363;tt1351672;The Man Who Will Come;;2009;0;115;1663.0;TRUE;
